relative_time,AccX,AccY,AccZ
6.807,-2.2270687866210936,-3.152893524169922,10.04276596069336
6.874,-1.658551025390625,-3.1762449645996096,9.952803039550782
6.94,-0.4722679138183594,-3.4230816650390627,9.047485656738282
7.008,-0.2737806701660156,-2.6134153747558595,8.64931365966797
7.074,-0.918340301513672,-2.7128086853027344,9.274713134765625
7.14,-1.370998992919922,-2.881507873535156,10.006541290283204
7.207,-1.3184582519531252,-2.7033782958984376,9.485474853515626
7.274,-0.8276289367675782,-2.71834716796875,9.411678314208984
7.34,-0.7375163269042969,-2.163002014160156,9.089847564697266
7.408,-0.5965095520019531,-2.4041505432128907,9.55223602294922
7.474,-0.632135467529297,-2.717898101806641,10.155182189941408
7.54,-1.0600955200195312,-2.8027716064453125,9.62273941040039
7.608,-0.0920585632324218,-2.1761746215820312,9.227561187744142
7.674,0.0115260314941406,-1.5284715270996094,9.001680908203125
7.74,-0.775986328125,-2.6993367004394533,9.090895385742188
7.808,0.6403683471679688,-1.7835411071777345,9.135951690673828
7.874,-1.332528991699219,-2.9033624267578126,9.620643768310549
7.94,0.9129515075683594,-1.738634490966797,9.335037689208985
8.008,-0.6719526672363282,-2.9234207153320315,9.904603271484376
8.074,-0.3222798156738281,-2.3766078186035156,9.141939239501951
8.141,-0.3037184143066406,-2.950364685058594,9.774224395751954
8.208,-0.0725990295410156,-2.1285736083984377,9.460476837158204
8.274,0.1392105102539062,-1.9941531372070311,9.38218963623047
8.34,-1.1323951721191408,-2.482138366699219,9.689051513671876
8.407,-0.5596861267089844,-1.9143690490722656,9.257947998046877
8.474,0.005987548828125,-2.1077668762207034,9.129964141845704
8.54,-0.0032931518554687,-2.488275604248047,9.332642669677735
8.608,0.3477268981933594,-1.810634765625,9.747130737304689
8.674,-0.9532177734375,-2.509830780029297,9.918823699951172
8.74,-0.1062789916992187,-2.142045593261719,9.80955093383789
8.808,-0.4384382629394531,-2.3797512817382813,9.940678253173829
8.874,0.3143463134765625,-2.123933258056641,9.257648620605467
8.94,0.3204835510253906,-1.7024098205566407,9.319769439697266
9.008,-0.2556683349609375,-2.149230651855469,9.393565979003906
9.074,-0.0362246704101562,-2.0951930236816407,9.667795715332032
9.14,-0.1945953369140625,-2.4496559143066405,9.869276733398438
9.207,-0.3977229309082031,-2.1022283935546877,9.675280151367188
9.274,-0.6316864013671876,-2.5462051391601563,9.219477996826171
9.34,0.5950126647949219,-1.769620056152344,9.488318939208986
9.407,-0.3038681030273437,-2.5342300415039065,9.605225830078126
9.474,-0.2333647155761719,-1.9455043029785155,9.349407806396483
9.542,-0.3336561584472656,-2.0546273803710937,9.582622833251952
9.608,-0.2222877502441406,-2.2573059082031253,9.517657928466797
9.674,-0.2501298522949219,-1.8785934448242188,9.304052124023436
9.741,-0.2200424194335937,-2.018851776123047,9.735155639648438
9.807,-0.2082170104980469,-2.3941213989257815,9.724527740478516
9.874,0.1375639343261719,-2.24892333984375,9.79128890991211
9.974,-0.3198847961425781,-2.6491909790039063,9.470505981445314
10.007,0.1094224548339843,-2.3848406982421877,9.45598617553711
10.074,0.5379812622070312,-1.816472625732422,9.55807388305664
10.14,-0.6560856628417969,-2.4662713623046875,9.741143188476563
10.207,-0.2284249877929687,-2.279010772705078,9.480684814453124
10.274,0.2188449096679687,-2.1243823242187503,9.66435287475586
10.34,0.12214599609375,-1.963466949462891,9.452543334960938
10.406,-0.2716850280761719,-2.163600769042969,9.542057189941406
10.474,-0.4225712585449219,-2.108814697265625,9.637708282470705
10.54,-0.2411485290527344,-2.233056335449219,9.621092834472655
10.607,0.0104782104492187,-1.5239808654785156,9.387578430175784
10.674,-0.4876858520507813,-2.1543200683593753,9.445358276367188
10.74,0.1062789916992187,-2.222727813720703,9.689500579833984
10.807,-0.046702880859375,-2.0245399475097656,9.672585754394532
10.874,-0.1634600830078125,-2.1212388610839845,9.749076690673828
10.94,-0.6450086975097656,-2.646646270751954,9.839937744140624
11.007,-0.1383123779296875,-2.2598506164550782,9.748777313232422
11.074,-0.1442999267578125,-1.931134185791016,9.489217071533204
11.14,-0.1751358032226562,-2.1740789794921875,9.410181427001952
11.207,-0.0005987548828125,-2.190245361328125,9.64474365234375
11.274,-0.135318603515625,-2.195783843994141,9.749076690673828
11.34,-0.4020639038085937,-1.9425105285644533,9.534123687744142
11.407,0.0,-1.6688795471191409,9.58337127685547
11.474,-0.3784130859375,-2.3188279724121097,9.623338165283204
11.54,0.2721340942382813,-1.6983682250976564,9.455387420654295
11.607,0.1853146362304687,-1.9543359375,9.232201538085938
11.674,-0.231119384765625,-2.4806414794921876,9.988428955078126
11.74,-0.1297801208496093,-1.879042510986328,9.334888000488284
11.807,-0.0919088745117187,-2.1284239196777346,9.743238830566408
11.874,0.1275347900390625,-2.232307891845703,9.580676879882812
11.94,0.0664617919921875,-1.8636245727539065,9.450148315429688
